strain,short,pval,significance
1115,CGXII,0.5884317692271521,ns
1115,CGXII+CasA,8.439844909829802e-05,****
1115,CGXII+Tween,0.004461922527728385,**
1115,CGXII+Tween+CasA,0.024986416834400147,*
1115,CGXII+Tween+Trace,0.0118850823706959,*
1115,CGXII+Tween+Vit,0.003711461038463818,**
1115,CGXII+Tween+Vit+Trace,0.013799333593844672,*
1116,CGXII,0.7127575051892866,ns
1116,CGXII+CasA,0.013178726013560006,*
1116,CGXII+Tween,0.0024906638923671023,**
1116,CGXII+Tween+CasA,0.9035523117218969,ns
1116,CGXII+Tween+Trace,0.0007709311814149948,***
1116,CGXII+Tween+Vit,0.0005259006411575275,***
1116,CGXII+Tween+Vit+Trace,0.0019988915045020027,**
1116,CGXII+Tween+Vit+Trace+nac,0.029552648793669815,*
1116,CGXII+Tween+Vit+nac,0.009383382661142583,**
1116,CGXII+Tween+nac,0.0,****
1116,CGXII+Tween+nac+CasA,0.000120123098123193,***
1116,CGXII+nac,0.9255944203643949,ns
1197,CGXII,0.043658974288210584,*
1197,CGXII+CasA,0.0004651813626099185,***
1197,CGXII+Tween,0.0017354301260254564,**
1197,CGXII+Tween+CasA,0.0003002904464604384,***
1197,CGXII+Tween+Trace,0.0012758594460036046,**
1197,CGXII+Tween+Vit,0.0008850743768261392,***
1197,CGXII+Tween+Vit+Trace,0.0036743162330436802,**
TS,CGXII,0.007463574886877625,**
TS,CGXII+CasA,0.000507544692165154,***
TS,CGXII+Tween,0.00023712094567601398,***
TS,CGXII+Tween+CasA,0.00028059666026070216,***
TS,CGXII+Tween+Trace,0.02309745861426498,*
TS,CGXII+Tween+Vit,0.01310979953987141,*
TS,CGXII+Tween+Vit+Trace,0.0001715821268334135,***
