Time,LB
15.0,0.00044444444444444176
30.0,0.00022222222222222088
45.0,-0.00011111111111111738
60.0,0.0001111111111111035
75.0,-0.0005555555555555591
90.0,0.0
105.0,-0.00011111111111111276
120.0,0.0
135.0,0.0
150.00000000000003,0.00011111111111110812
165.0,0.00044444444444444636
180.0,0.0005555555555555591
195.0,0.0010000000000000009
210.0,0.0012222222222222218
225.0,0.0020000000000000018
240.0,0.002222222222222218
255.0,0.003555555555555557
270.0,0.004777777777777779
285.00000000000006,0.00677777777777779
300.0,0.008222222222222228
315.0,0.01077777777777778
330.0,0.014000000000000007
345.0,0.01822222222222222
360.0,0.024999999999999998
375.0,0.03266666666666667
390.0,0.042
405.0,0.058000000000000024
420.0,0.08955555555555557
435.0,0.10166666666666668
450.0,0.14044444444444446
465.0,0.1688888888888889
480.0,0.20666666666666667
495.0,0.22911111111111113
510.00000000000006,0.2622222222222222
525.0,0.28444444444444444
540.0000000000001,0.32066666666666666
555.0000000000001,0.3342222222222222
570.0,0.35677777777777786
585.0,0.399
600.0,0.38633333333333325
615.0,0.4243333333333333
630.0,0.43566666666666665
645.0,0.45811111111111114
660.0,0.45566666666666666
675.0,0.4653333333333333
690.0,0.4812222222222222
705.0,0.48688888888888887
720.0,0.5252222222222223
735.0,0.4774444444444445
750.0,0.49100000000000005
765.0,0.48700000000000004
779.9833333333332,0.5177777777777778
795.0,0.5591111111111111
810.0,0.5038888888888889
825.0,0.5105555555555555
840.0,0.5691111111111111
855.0,0.5697777777777778
870.0,0.5845555555555556
885.0,0.5774444444444445
900.0,0.5933333333333334
915.0,0.5855555555555556
930.0,0.6193333333333334
945.0,0.609
960.0,0.5794444444444444
975.0,0.6187777777777779
990.0000000000001,0.5922222222222223
1005.0000000000001,0.5795555555555555
1020.0000000000001,0.5776666666666667
1035.0,0.5625555555555556
1050.0000000000002,0.5634444444444444
1065.0000000000002,0.5508888888888889
1080.0000000000002,0.523888888888889
1095.0000000000002,0.5253333333333333
1110.0,0.525
1125.0,0.520888888888889
1140.0,0.521
1155.0,0.526
1170.0,0.5367777777777779
1185.0,0.5397777777777778
1200.0,0.532
1215.0,0.5314444444444445
1230.0,0.524
1245.0,0.523
1260.0,0.516888888888889
1275.0,0.5214444444444445
1290.0,0.4978888888888888
1305.0,0.5015555555555555
1320.0,0.49666666666666676
1335.0,0.49877777777777776
1350.0,0.4961111111111111
1365.0,0.4917777777777778
1380.0,0.4957777777777778
1395.0,0.4916666666666667
1410.0,0.49433333333333335
1425.0,0.5002222222222222
1440.0,0.4953333333333334
