,mean
0,15.0
1,30.0
2,45.0
3,60.0
4,75.0
5,90.0
6,105.0
7,120.0
8,135.0
9,150.00000000000003
10,165.0
11,180.0
12,195.0
13,210.0
14,225.0
15,240.0
16,255.0
17,270.0
18,285.00000000000006
19,300.0
20,315.0
21,330.0
22,345.0
23,360.0
24,375.0
25,390.0
26,405.0
27,420.0
28,435.0
29,450.0
30,465.0
31,480.0
32,495.0
33,510.00000000000006
34,525.0
35,540.0000000000001
36,555.0000000000001
37,570.0
38,585.0
39,600.0
40,615.0
41,630.0
42,645.0
43,660.0
44,675.0
45,690.0
46,705.0
47,720.0
48,734.9833333333332
49,750.0
50,765.0
51,780.0
52,795.0
53,810.0
54,825.0
55,840.0
56,855.0
57,870.0
58,885.0
59,900.0
60,915.0
61,930.0
62,945.0
63,960.0
64,975.0
65,990.0000000000001
66,1005.0000000000001
67,1020.0000000000001
68,1035.0
69,1050.0000000000002
70,1065.0000000000002
71,1080.0000000000002
72,1095.0000000000002
73,1110.0
74,1125.0
75,1140.0
76,1155.0
77,1170.0
78,1185.0
79,1200.0
80,1215.0
81,1230.0
82,1245.0
83,1260.0
84,1275.0
85,1290.0
86,1305.0
87,1320.0
88,1335.0
89,1350.0
90,1365.0
91,1380.0
92,1395.0
93,1410.0
94,1425.0
95,1440.0
96,1455.0
97,1470.0
98,1485.0
99,1500.0
100,1515.0
101,1530.0
102,1545.0
103,1560.0
104,1575.0
105,1590.0
106,1605.0
107,1620.0
108,1635.0
109,1650.0
110,1665.0
111,1680.0
112,1695.0
113,1710.0
114,1725.0
115,1740.0
116,1755.0
117,1770.0
118,1785.0
119,1800.0
120,1815.0
121,1830.0
122,1845.0
123,1860.0
124,1875.0
125,1890.0
126,1905.0
127,1920.0
128,1935.0
129,1950.0
130,1965.0000000000002
131,1980.0000000000002
132,1995.0000000000002
133,2010.0000000000002
134,2025.0000000000002
135,2040.0000000000002
136,2055.0
137,2070.0000000000005
138,2085.0000000000005
139,2100.0000000000005
140,2115.0000000000005
141,2130.0000000000005
142,2145.0000000000005
143,2160.0000000000005
144,2175.0000000000005
145,2190.0000000000005
146,2205.0
147,2220.0
148,2235.0
149,2250.0
150,2265.0
151,2280.0
152,2295.0
153,2310.0
154,2325.0
155,2340.0
156,2355.0
157,2370.0
158,2385.0
159,2400.0
160,2415.0
161,2430.0
162,2445.0
163,2460.0
164,2475.0
165,2490.0
166,2505.0
167,2520.0
168,2535.0
169,2550.0
170,2565.0
171,2579.983333333333
172,2595.0
173,2610.0
174,2625.0
175,2640.0
176,2655.0
177,2670.0
178,2685.0
179,2700.0
180,2715.0
181,2730.0
182,2745.0
183,2760.0
184,2775.0
185,2790.0
186,2805.0
187,2820.0
188,2835.0
189,2850.0
190,2865.0
191,2880.0
192,2895.0
